"ParasiteCorrectedName","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate"
"Acanthocephalus anguillae",0,0,0,0,0,0,0,0,0,0,0
"Acanthocephalus ranae",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema dracunculoides",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema odendhali",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema procyonis",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema reconditum",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema spirocauda",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter antiviralis",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter baumannii",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter calcoaceticus",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter lwoffii",1,0,0,1,1,1,0,0,1,0,0
"Actinobacillus actinomycetemcomitans",1,0,0,1,0,0,0,0,0,0,0
"Actinobacillus equuli",1,0,1,1,0,0,0,0,0,0,0
"Aelurostrongylus abstrusus",0,0,0,0,0,0,0,0,0,0,0
"Aelurostrongylus falciformis",0,0,0,0,0,0,0,0,0,0,0
"Aelurostrongylus pridhami",0,0,0,0,0,0,0,0,0,0,0
"Aerococcus viridans",0,0,0,0,0,0,0,0,0,0,0
"Aeromonas hydrophila",0,0,0,0,1,1,1,1,1,1,0
"Agriostomum cursoni",0,0,0,0,1,1,1,0,1,0,0
"Agriostomum equidentatum",0,0,0,0,1,1,1,0,1,0,0
"Agriostomum gorgonis",0,0,0,0,1,1,1,0,1,0,0
"Agrobacterium tumefaciens",0,0,0,0,0,0,0,0,0,0,0
"Alaria alata",0,0,0,0,0,0,0,0,0,0,0
"Alaria americana",0,0,0,0,0,0,0,0,0,0,0
"Alaria arisaemoides",0,0,0,0,0,0,0,0,0,0,0
"Alaria canis",0,0,0,0,0,0,0,0,0,0,0
"Alaria marcianae",0,0,0,0,0,0,0,0,0,0,0
"Alaria mustelae",0,0,0,0,0,0,0,0,0,0,0
"Alaria taxideae",0,0,0,0,0,0,0,0,0,0,0
"Alouattalges corbeti",1,0,0,0,0,0,0,0,0,0,0
"Alouattamyia baeri",0,0,0,0,1,0,0,0,0,0,0
"Alphacoronavirus Alphacoronavirus 1",0,0,0,0,0,0,0,0,0,0,0
"Alphavirus Chikungunya virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Eastern equine encephalitis virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Mayaro virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Semliki forest virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Sindbis virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Southern elephant seal virus",0,0,0,0,0,0,0,0,0,0,0
"Alphavirus Venezuelan equine encephalitis virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Western equine encephalitis virus",0,0,0,0,0,0,0,0,0,1,0
"Amblyomma americanum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma aureolatum",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma brasiliense",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma cajennense",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma coelebs",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma cohaerens",0,0,0,0,1,0,0,0,0,0,0
"Amblyomma dubitatum",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma fuscum",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma gemma",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma hebraeum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma javanense",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma longirostre",0,0,0,0,1,0,0,0,0,0,0
"Amblyomma maculatum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma marmoreum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma naponense",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma oblongoguttatum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma ovale",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma parvum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma pecarium",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma rhinocerotis",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma rotundatum",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma scalpturatum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma sparsum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma testudinarium",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma tholloni",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma tigrinum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma triguttatum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma triste",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma variegatum",0,0,0,0,1,1,0,0,0,0,0
"Amdoparvovirus Carnivore amdoparvovirus 1",0,0,0,0,0,0,0,0,0,0,0
"Amoebotaenia paradoxa",0,0,0,0,0,0,0,0,0,0,0
"Anaplasma marginale",0,0,0,0,0,0,0,0,0,1,0
"Anaplasma ovis",0,0,0,0,0,0,0,0,0,1,0
"Anaplasma phagocytophilum",0,0,0,0,0,0,0,0,0,1,0
"Anaplasma platys",0,0,0,0,0,0,0,0,0,1,0
"Anatrichosoma cynamolgi",0,0,0,0,1,0,0,0,0,0,0
"Anatrichosoma ixyos",0,0,0,0,1,0,0,0,0,0,0
"Ancylostoma braziliense",0,0,0,0,1,0,0,0,0,0,0
"Ancylostoma caninum",0,0,0,0,0,0,0,0,0,0,0
"Ancylostoma duodenale",0,0,0,0,1,0,0,0,0,0,0
"Ancylostoma kusimaense",0,0,0,0,0,0,0,0,0,0,0
"Ancylostoma martinezi",0,0,0,0,0,0,0,0,0,0,0
"Ancylostoma paraduodenale",0,0,0,0,0,0,0,0,0,0,0
"Ancylostoma pluridentatum",0,0,0,0,0,0,0,0,0,0,0
"Ancylostoma quadridentata",0,0,0,0,1,0,0,0,0,0,0
"Ancylostoma tubaeforme",0,0,0,0,0,0,0,0,0,0,0
"Androlaelaps casalis",0,0,0,0,0,0,0,0,0,0,0
"Angiocaulus gubernaculatus",0,0,0,0,0,0,0,0,0,0,0
"Angiostrongylus costaricensis",0,0,0,0,0,0,0,0,0,0,0
"Angiostrongylus vasorum",0,0,0,0,0,0,0,0,0,0,0
"Anisakis pegreffii",0,0,0,0,0,0,0,0,0,0,0
"Anisakis physeteris",0,0,0,0,0,0,0,0,0,0,0
"Anisakis simplex",0,0,0,0,0,0,0,0,0,0,0
"Anophryocephalus arcticensis",0,0,0,0,0,0,0,0,0,0,0
"Anophryocephalus inuitorum",0,0,0,0,0,0,0,0,0,0,0
"Anophryocephalus ochotensis",0,0,0,0,0,0,0,0,0,0,0
"Anoplocephala gigantea",0,0,0,0,0,0,0,0,0,0,1
"Anoplocephala gorillae",0,0,0,0,0,0,0,0,0,0,1
"Anoplocephala magna",0,0,0,0,0,0,0,0,0,0,1
"Anoplocephala perfoliata",0,0,0,0,0,0,0,0,0,0,1
"Antarctophthirus microchir",0,0,0,0,0,0,0,0,0,0,0
"Aonchotheca putorii",0,0,0,0,0,0,0,0,0,0,0
"Aphthovirus Foot-and-mouth disease virus",1,0,0,1,1,1,0,0,0,0,0
"Apophallus donicus",0,0,0,0,0,0,0,0,0,0,0
"Apophallus muehlingi",0,0,0,0,0,0,0,0,0,0,0
"Apophallus venustus",0,0,0,0,0,0,0,0,0,0,0
"Apteragia odocoilei",0,0,0,0,1,1,0,0,1,0,0
"Apteragia pursglovei",0,0,0,0,1,1,0,0,1,0,0
"Apteragia quadrispiculata",0,0,0,0,1,1,0,0,1,0,0
"Arcanobacterium haemolyticum",0,0,0,0,0,0,0,0,0,0,0
"Arcanobacterium phocae",0,0,0,0,0,0,0,0,0,0,0
"Arcanobacterium pyogenes",0,0,0,0,1,1,0,0,0,0,0
"Archaeopsylla erinacei",0,0,0,0,0,0,0,0,0,0,0
"Arhythmorhynchus brevis",0,0,0,0,0,0,0,0,0,0,0
"Armillifer armillatus",0,0,0,0,1,0,0,0,0,0,1
"Arterivirus Porcine reproductive and respiratory syndrome virus 1",1,1,1,1,1,1,0,0,0,1,0
"Arthroderma benhamiae",1,0,0,1,1,1,1,0,0,0,0
"Arthrostoma miyazakiense",0,0,0,0,0,0,0,0,0,0,0
"Ascaridia galli",0,0,0,0,1,0,0,0,0,0,0
"Ascaridia schroederii",0,0,0,0,0,0,0,0,0,0,0
"Ascaris elongata",0,0,0,0,1,0,0,0,0,0,0
"Ascaris lumbricoides",0,0,0,0,1,0,0,0,0,0,0
"Ascaris phacochoeri",1,0,1,0,1,0,1,0,1,0,0
"Ascaris suum",1,0,1,0,1,0,1,0,1,0,0
"Ascarops dentata",0,0,0,0,0,0,0,0,0,0,1
"Ascarops strongylina",0,0,0,0,0,0,0,0,0,0,1
"Ascocotyle ampullacea",0,0,0,0,0,0,0,0,0,0,0
"Ascocotyle leighi",0,0,0,0,0,0,0,0,0,0,0
"Ascorhytis charadriformis",0,0,0,0,0,0,0,0,0,0,0
"Asfivirus African swine fever virus",1,0,0,1,1,1,0,0,1,1,0
"Ashworthius gagarini",0,0,0,0,1,1,0,0,1,0,0
"Ashworthius sidemi",0,0,0,0,1,1,0,0,1,0,0
"Atadenovirus Deer adenovirus",1,0,1,1,1,0,0,1,1,0,0
"Athesmia heterolecithodes",0,0,0,0,0,0,0,0,0,0,1
"Atriotaenia incisa",0,0,0,0,0,0,0,0,0,0,0
"Atriotaenia procyonis",0,0,0,0,0,0,0,0,0,0,0
"Avitellina centripunctata",0,0,0,0,0,0,0,0,0,0,1
"Babesia bigemina",0,0,0,0,0,0,0,0,0,1,0
"Babesia bovis",0,0,0,0,0,0,0,0,0,0,0
"Babesia cellii",0,0,0,0,0,0,0,0,0,1,0
"Babesia cynicti",0,0,0,0,0,0,0,0,0,0,0
"Babesia equi",0,0,0,0,0,0,0,0,0,1,0
"Babesia lotori",0,0,0,0,0,0,0,0,0,0,0
"Babesia microti",0,0,0,0,0,0,0,0,0,0,0
"Babesia missirolii",0,0,0,0,0,0,0,0,0,0,0
"Babesia odocoilei",0,0,0,0,0,0,0,0,0,1,0
"Babesia ovis",0,0,0,0,0,0,0,0,0,1,0
"Babesia pitheci",0,0,0,0,0,0,0,0,0,1,0
"Babesia propitheci",0,0,0,0,0,0,0,0,0,1,0
"Babesia rossi",0,0,0,0,0,0,0,0,0,0,0
"Bacillus anthracis",0,0,0,0,1,1,1,0,0,0,0
"Bacillus coagulans",0,0,0,0,0,0,0,0,0,0,0
"Bacillus laterosporus",0,0,0,0,0,0,0,0,0,0,0
"Bacillus mycoides",0,0,0,0,1,0,0,0,0,0,0
"Balantidium aragaoi",1,0,0,0,1,0,0,0,0,0,0
"Balantidium coli",1,0,0,0,1,0,0,0,0,0,0
"Bartonella clarridgeiae",0,0,0,0,0,0,0,0,0,0,0
"Bartonella henselae",0,0,0,0,0,0,0,0,0,0,0
"Bartonella rochalimae",0,0,0,0,0,0,0,0,0,0,0
"Bartonella vinsonii",0,0,0,0,0,0,0,0,0,0,0
"Baschkirovitrema incrassatum",0,0,0,0,0,0,0,0,0,0,0
"Baylisascaris columnaris",0,0,0,0,0,0,0,0,0,0,0
"Baylisascaris devosi",0,0,0,0,0,0,0,0,0,0,0
"Baylisascaris procyonis",0,0,0,0,0,0,0,0,0,0,0
"Baylisascaris transfuga",0,0,0,0,0,0,0,0,0,0,0
"Baylisiella tecta",0,0,0,0,0,0,0,0,0,0,0
"Bertiella mucronata",0,0,0,0,0,0,0,0,0,0,1
"Bertiella studeri",0,0,0,0,0,0,0,0,0,0,1
"Besnoitia tarandi",0,0,0,0,1,0,0,0,1,1,1
"Betapolyomavirus Macaca mulatta polyomavirus 1",1,0,1,0,0,0,0,0,0,0,0
"Bibersteinia trehalosi",1,0,0,1,0,0,0,0,0,0,0
"Blastocystis hominis",1,0,0,0,1,0,0,0,0,0,0
"Blastomyces dermatitidis",0,0,0,0,0,0,0,0,0,0,0
"Bolbosoma bobrovoi",0,0,0,0,0,0,0,0,0,0,0
"Boophilus annulatus",0,0,0,0,1,1,0,0,0,0,0
"Bordetella bronchiseptica",1,0,0,0,0,0,0,0,0,0,0
"Bornavirus Mammalian 1 bornavirus",0,0,0,0,0,0,0,0,0,0,0
"Borrelia afzelii",0,0,0,0,0,0,0,0,0,1,0
"Borrelia burgdorferi",0,0,0,0,0,0,0,0,0,1,0
"Borrelia garinii",0,0,0,0,0,0,0,0,0,1,0
"Borrelia harveyi",0,0,0,0,0,0,0,0,0,1,0
"Borrelia japonica",0,0,0,0,0,0,0,0,0,1,0
"Borrelia recurrentis",0,0,0,0,0,0,0,0,0,1,0
"Bourgelatia hylochoeri",0,0,0,0,0,0,0,0,0,0,0
"Bovine herpesvirus 3",1,1,0,1,0,0,0,0,0,0,0
"Brachylaima fuscatus",0,0,0,0,0,0,0,0,0,0,0
"Brachylaima pellucidum",0,0,0,0,0,0,0,0,0,0,0
"Brachylaima recurva",0,0,0,0,0,0,0,0,0,0,0
"Brachylaima tokudai",0,0,0,0,0,0,0,0,0,0,0
"Brachylaima virginianum",0,0,0,0,0,0,0,0,0,0,0
"Brevibacillus brevis",0,0,0,0,0,0,0,0,0,0,0
"Brodenia laciniata",0,0,0,0,0,0,0,0,0,0,1
"Brodenia serrata",0,0,0,0,0,0,0,0,0,0,1
"Bronchonema magna",0,0,0,0,1,1,0,0,1,0,0
"Brucella abortus",1,1,1,0,1,0,0,0,0,0,0
"Brucella melitensis",1,1,1,1,1,1,0,0,0,0,0
"Brucella microti",0,0,0,0,0,0,0,0,0,0,0
"Brucella pinnipedialis",0,0,0,0,0,0,0,0,0,0,0
"Brugia beaveri",0,0,0,0,0,0,0,0,0,0,0
"Brugia malayi",0,0,0,0,0,0,0,0,0,1,0
"Brugia pahangi",0,0,0,0,0,0,0,0,0,1,0
"Bunostomum trigonocephalum",0,0,0,0,1,1,0,0,1,0,0
"Burkholderia cepacia",0,0,0,0,0,0,0,0,0,0,0
"Buttiauxella agrestis",0,0,0,0,0,0,0,0,0,0,0
"Camelostrongylus harrisi",0,0,0,0,1,1,0,0,1,0,0
"Camelostrongylus mentulatus",0,0,0,0,1,1,0,0,1,0,0
"Campylobacter jejuni",0,0,0,0,0,0,0,0,0,0,0
"Candida albicans",1,0,1,0,1,0,0,0,0,0,0
"Candida tropicalis",1,0,1,0,1,0,0,0,0,0,0
"Capillaria aerophila",0,0,0,0,0,0,0,0,0,0,0
"Capillaria brochieri",0,0,0,0,1,0,0,0,0,0,1
"Capillaria hepatica",0,0,0,0,0,0,0,0,0,0,0
"Capillaria mucronata",0,0,0,0,0,0,0,0,0,0,0
"Capillaria mustelorum",0,0,0,0,0,0,0,0,0,0,0
"Capillaria plica",0,0,0,0,0,0,0,0,0,0,0
"Capillaria procyonis",0,0,0,0,0,0,0,0,0,0,0
"Capillaria putorii",0,0,0,0,0,0,0,0,0,0,0
"Capreocaulus capreoli",0,0,0,0,0,0,0,0,0,0,0
"Cardiovirus Cardiovirus A",1,0,0,0,1,0,0,0,1,0,0
"Carios puertoricensis",0,0,0,0,0,0,0,0,0,0,0
"Cebidicola extrarius",1,0,0,0,0,0,0,0,0,0,0
"Cebidicola semiarmatus",1,0,0,0,0,0,0,0,0,0,0
"Cediopsylla inaequalis",0,0,0,0,0,0,0,0,0,0,0
"Cediopsylla simplex",0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus aluconis",0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus bazaleticus",0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus conspectus",0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus elongatus",0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus teres",0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus undulatus",0,0,0,0,0,0,0,0,0,0,0
"Cephenemyia trompe",0,0,0,0,0,0,0,0,0,0,0
"Ceratophyllus gallinae",0,0,0,0,0,0,0,0,0,0,0
"Ceratophyllus sciurorum",0,0,0,0,0,0,0,0,0,0,0
"Ceratospira opthalmica",0,0,0,0,0,0,0,0,0,1,0
"Cercogylus africanus",0,0,0,0,0,0,0,0,0,0,1
"Cercopithifilaria degraaffi",0,0,0,0,0,0,0,0,0,1,0
"Cercopithifilaria eberhardi",0,0,0,0,0,0,0,0,0,1,0
"Cercopithifilaria kenyensis",0,0,0,0,0,0,0,0,0,1,0
"Cercopithifilaria narokensis",0,0,0,0,0,0,0,0,0,1,0
"Cercopithifilaria shohoi",0,0,0,0,0,0,0,0,0,1,0
"Cercopithifilaria verveti",0,0,0,0,0,0,0,0,0,1,0
"Chabertia ovina",0,0,0,0,1,1,0,0,1,0,0
"Chaetopsylla globiceps",0,0,0,0,0,0,0,0,0,0,0
"Chaetopsylla lotoris",0,0,0,0,0,0,0,0,0,0,0
"Chaetopsylla matina",0,0,0,0,0,0,0,0,0,0,0
"Chaetopsylla trichosa",0,0,0,0,0,0,0,0,0,0,0
"Cheyletiella parasitovorax",0,0,0,0,0,0,0,0,0,0,0
"Chilomastix mesnili",1,0,0,0,1,0,0,0,0,0,0
"Chlamydia psittaci",1,0,1,1,1,1,0,1,1,1,0
"Chlamydonema tumefaciens",0,0,0,0,0,0,0,0,0,0,0
"Chlamydophila abortus",0,0,0,0,0,0,0,0,0,0,0
"Chlamydophila felis",0,0,0,0,0,0,0,0,0,0,0
"Chorioptes bovis",1,0,0,1,0,0,0,0,0,0,0
"Chorioptes texanus",1,0,0,1,0,0,0,0,0,0,0
"Chronic wasting disease prion protein",1,0,0,1,1,1,0,0,0,0,0
"Chrysosporium parvum",0,0,0,0,0,0,0,0,0,0,0
"Chrysosporium tropicum",0,0,0,0,0,0,0,0,0,0,0
"Citrobacter freundii",0,0,0,0,0,0,0,0,0,0,0
"Citrobacter koseri",0,0,0,0,0,0,0,0,0,0,0
"Clostridioides difficile",0,0,0,0,0,0,0,0,0,0,0
"Clostridium bartlettii",0,0,0,0,0,0,0,0,0,0,0
"Clostridium botulinum",0,0,0,0,0,0,0,0,0,0,0
"Clostridium colicanis",0,0,0,0,0,0,0,0,0,0,0
"Clostridium disporicum",0,0,0,0,0,0,0,0,0,0,0
"Clostridium glycolicum",0,0,0,0,0,0,0,0,0,0,0
"Clostridium haemolyticum",0,0,0,0,1,1,1,0,1,0,0
"Clostridium hiranonis",0,0,0,0,0,0,0,0,0,0,0
"Clostridium paraputrificum",0,0,0,0,0,0,0,0,0,0,0
"Clostridium perfringens",0,0,0,0,1,1,1,0,1,0,0
"Clostridium sardiniense",0,0,0,0,0,0,0,0,0,0,0
"Clostridium sordellii",0,0,0,0,1,1,1,0,1,0,0
"Coccidioides immitis",0,0,0,0,0,0,0,0,0,0,0
"Cochliomyia hominivorax",0,0,0,0,0,0,0,0,0,0,0
"Colobenterobius colobis",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius entellus",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius guerezae",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius inglisi",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius longispiculum",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius paraguerezae",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius pesteri",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius presbytis",1,0,0,0,1,0,0,0,0,0,0
"Colobenterobius zakiri",1,0,0,0,1,0,0,0,0,0,0
"Coltivirus Colorado tick fever virus",0,0,0,0,0,0,0,0,0,0,0
"Concinnum ten",0,0,0,0,0,0,0,0,0,0,0
"Contracaecum margolisi",0,0,0,0,0,0,0,0,0,0,0
"Contracaecum ogmorhini",0,0,0,0,0,0,0,0,0,0,0
"Contracaecum osculatum",0,0,0,0,0,0,0,0,0,0,0
"Contracaecum spiculigerum",0,0,0,0,0,0,0,0,0,0,0
"Controrchis biliophilus",0,0,0,0,0,0,0,0,0,0,1
"Cooperia acutispiculum",0,0,0,0,1,1,0,0,1,0,0
"Cooperia connochaeti",0,0,0,0,1,1,0,0,1,0,0
"Cooperia fuelleborni",0,0,0,0,1,1,0,0,1,0,0
"Cooperia hungi",0,0,0,0,1,1,0,0,1,0,0
"Cooperia neitzi",0,0,0,0,1,1,0,0,1,0,0
"Cooperia oncophora",0,0,0,0,1,1,0,0,1,0,0
"Cooperia pectinata",0,0,0,0,1,1,0,0,1,0,0
"Cooperia punctata",0,0,0,0,1,1,0,0,1,0,0
"Cooperia rotundispiculum",0,0,0,0,1,1,0,0,1,0,0
"Cooperia surnabada",0,0,0,0,1,1,0,0,1,0,0
"Cooperia yoshidai",0,0,0,0,1,1,0,0,1,0,0
"Cooperioides antidorca",0,0,0,0,1,1,0,0,1,0,0
"Cooperioides hamiltoni",0,0,0,0,1,1,0,0,1,0,0
"Cooperioides hepaticae",0,0,0,0,1,1,0,0,1,0,0
"Corynebacterium bovis",0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium pseudotuberculosis",0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium ulcerans",0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium xerosis",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma australe",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma enhydri",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma hadweni",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma magdaleni",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma obtuscens",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma reductum",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma semerme",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma strumosum",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma validum",0,0,0,0,0,0,0,0,0,0,0
"Corynosoma villosum",0,0,0,0,0,0,0,0,0,0,0
"Cotylophoron cotylophorum",0,0,0,0,1,1,0,0,0,0,1
"Cotylophoron indicum",0,0,0,0,1,1,0,0,0,0,1
"Cotylophoron jacksoni",0,0,0,0,1,1,0,0,0,0,1
"Coxiella burnetii",1,1,1,1,1,1,1,0,1,1,0
"Craterostomum acuticaudatum",0,0,0,0,1,1,0,0,1,0,0
"Crenosoma goblei",0,0,0,0,0,0,0,0,0,0,0
"Crenosoma melesi",0,0,0,0,0,0,0,0,0,0,0
