Host species,Host family,Number of reports (dataset/WOS),Reported PSR,Reported generalist PSR,Chao 2 estimator,ACE estimator,Jackknife estimator,Bootstrap estimator
Acinonyx jubatus,Felidae,13/119,14,13,24.13,25.45,22.25,17.65
Canis aureus,Canidae,15/19,31,29,93.5,90.62,54.08,40.43
Canis latrans,Canidae,80/132,92,74,152.63,135.69,139.35,112.43
Canis lupus,Canidae,71/132,80,77,160.67,117.19,123.31,98
Cerdocyon thous,Canidae,24/44,24,18,124,60.92,42.95,31.42
Crocuta crocuta,Hyaenidae,14/29,20,17,92.25,57.78,35.79,26.26
Cystophora cristata,Phocidae,13/23,14,14,26.5,31.5,22.89,17.88
Enhydra lutris,Mustelidae,26/100,27,18,107.67,118.67,48.08,35.29
Erignathus barbatus,Phocidae,13/18,10,10,22.25,20,16.22,12.66
Felis silvestris,Felidae,28/46,38,34,129.13,71.3,63.83,48.36
Genetta genetta,Viverridae,22/25,21,17,53,49,36.11,27.21
Halichoerus grypus,Phocidae,29/134,21,21,119,35.74,34.42,26.31
Herpestes ichneumon,Phocidae,15/15,20,15,68.17,76.67,35.3,26.25
Leopardus pardalis,Felidae,12/32,33,33,273.25,288.75,60.56,43.95
Lontra canadensis,Mustelidae,14/19,22,17,112.25,81.71,39.42,28.94
Lutra lutra,Mustelidae,30/47,60,38,253.14,243.53,109.64,79.59
Lycaon pictus,Canidae,16/86,12,11,44,23,19.43,15.02
Lynx lynx,Felidae,20/74,35,33,87.07,90.59,60.31,45.48
Lynx pardinus,Felidae,25/54,47,45,66.53,71.46,70.96,58.11
Lynx rufus,Felidae,39/99,65,54,132.5,130.45,108.59,83.31
Martes foina,Mustelidae,26/29,39,34,91.56,88.17,66.79,50.49
Meles meles,Musteliae,84/299,54,42,76.53,73.14,79.61,65.84
Mephitis mephitis,Mephitidae,42/85,48,41,184.9,118.92,84.05,62.19
Mirounga angustirostris,Phocidae,13/29,37,32,109.9,71.45,61.75,47.14
Mustela erminea,Mustelidae,23/46,34,32,38.24,42.16,45.29,40.46
Mustela nivalis,Mustelidae,14/15,24,23,24.66,27.16,28.29,27.5
Mustela putorius,Mustelidae,32/169,46,45,68.56,57.06,64.14,54.44
Neovison vison,Mustelidae,37/46,64,55,98.23,101,99.68,80.1
Nyctereutes procyonoides,Canidae,40/97,66,52,80,86.92,93.1,79.94
Odobenus rosmarus,Odobenidae,10/25,13,12,43.25,48.75,22.63,16.98
Pagophilus groenlandicus,Phocidae,15/17,15,15,51,40.71,26,19.48
Panthera leo,Felidae,40/142,47,38,169.5,99.5,81.08,60.44
Panthera pardus,Felidae,13/31,19,19,181,190,35.2,25.38
Phoca vitulina,Phocidae,63/302,67,57,101.03,92.9,99.35,81.47
Procyon lotor,Procyonidae,151/767,182,92,358.73,303.32,289.16,226.81
Puma concolor,Felidae,46/101,69,63,95.27,96.2,102.23,84.61
Pusa hispida,Phocidae,24/39,23,15,77,57.5,39.94,29.85
Urocyon cinereoargenteus,Canidae,34/64,56,51,144.89,115.46,94.57,71.8
Ursus americanus,Ursidae,44/63,76,65,170.53,170.65,129.63,98.13
Ursus arctos,Ursidae,22/46,43,37,423.25,210.7,79.71,57.23
Ursus maritimus,Ursidae,14/61,21,11,102,75,37,27.47
Vulpes lagopus,Canidae,19/54,32,27,110.13,76.44,55.33,41.43
Vulpes velox,Canidae,10/11,31,27,58,46.88,47.2,38.02
Vulpes vulpes,Canidae,227/706,157,120,238.67,214.44,226.66,187.75
Zalophus californianus,Otariidae,30/110,66,46,274.29,210,118.07,86.48